mse,ssim,gradient_error,grad_entropy_gt,grad_entropy_recon,grad_entropy_diff,laplacian_var_gt,laplacian_var_recon,laplacian_var_diff,phantom_type,nProj,thetaMax
0.0732500284074442,0.0458333266042511,0.225402939589571,0.113175227517907,2.59437849315961,2.4812032656417,0.0122639810788128,0.00725404999632366,0.00500993108248917,simple,30,180
0.0243742554026337,0.0644043544176852,0.16152122758086,0.113175227517907,2.11530474530411,2.0021295177862,0.0122639810788128,0.00509643455519695,0.00716754652361589,simple,60,180
0.0103497645121898,0.0796474713111461,0.109129500425497,0.113175227517907,1.71811965781518,1.60494443029727,0.0122639810788128,0.00371628249661529,0.00854769858219754,simple,90,180
0.00224007385322453,0.125045677562875,0.0380650327599758,0.113175227517907,0.589130375117218,0.475955147599311,0.0122639810788128,0.00217646949585462,0.0100875115829582,simple,180,180
0.0508020735528468,0.0475053498205929,0.204989668941596,0.113175227517907,2.46270936699399,2.34953413947608,0.0122639810788128,0.00562135610189042,0.00664262497692241,simple,30,150
0.0286048942672833,0.0653906636481161,0.12907189322799,0.113175227517907,1.95539984078492,1.84222461326701,0.0122639810788128,0.0030680785257198,0.00919590255309303,simple,60,150
0.0265674665514189,0.0729969134737925,0.0869682358283752,0.113175227517907,1.56875859652447,1.45558336900656,0.0122639810788128,0.00202357002219122,0.0102404110566216,simple,90,150
0.0213016048694251,0.0786987687310549,0.0487632238608005,0.113175227517907,0.834142675084049,0.720967447566142,0.0122639810788128,0.00110389487640349,0.0111600862024093,simple,180,150
0.0644461052552257,0.048581926472299,0.155395585180561,0.113175227517907,2.30662568968634,2.19345046216844,0.0122639810788128,0.0030393660491364,0.00922461502967643,simple,30,120
0.0550694741134473,0.0610305264972588,0.0935286214170592,0.113175227517907,1.70445641713845,1.59128118962054,0.0122639810788128,0.00142102372170018,0.0108429573571127,simple,60,120
0.0554898261054887,0.0636180186295817,0.0656325194113166,0.113175227517907,1.25826158604435,1.14508635852644,0.0122639810788128,0.000911084007582636,0.0113528970712302,simple,90,120
0.0555184168461341,0.0640435094707807,0.0484278883477422,0.113175227517907,0.843273240896629,0.730098013378722,0.0122639810788128,0.000550416033992515,0.0117135650448203,simple,180,120
0.115188759347139,0.0476404176843979,0.118928134859938,0.113175227517907,1.99513178719125,1.88195655967334,0.0122639810788128,0.00207674827965012,0.0101872327991627,simple,30,90
0.110235333164129,0.0563544631453557,0.0729631666619652,0.113175227517907,1.37767400354566,1.26449877602775,0.0122639810788128,0.000983445485132143,0.0112805355936807,simple,60,90
0.110738290247145,0.0572002168557991,0.05753487479997,0.113175227517907,0.992824104592,0.879648877074093,0.0122639810788128,0.000653676859591878,0.011610304219221,simple,90,90
0.111683967978876,0.0571843385535479,0.0522533216795124,0.113175227517907,0.872479707652688,0.759304480134781,0.0122639810788128,0.000445286906183724,0.0118186941726291,simple,180,90
0.102850980896786,0.232096875477377,0.344767333940729,0.480701561668828,2.97897636790586,2.49827480623703,0.0644440375371934,0.0117148424987384,0.052729195038455,shepp,30,180
0.0477928742249968,0.292625112381813,0.266697368964076,0.480701561668828,2.78427504776142,2.30357348609259,0.0644440375371934,0.0115666239932335,0.05287741354396,shepp,60,180
0.0205027169691495,0.34516425466762,0.182793104213795,0.480701561668828,2.2949725215928,1.81427095992397,0.0644440375371934,0.010024298948301,0.0544197385888925,shepp,90,180
0.00756566844014559,0.41115539904564,0.104295510459017,0.480701561668828,1.50893416848867,1.02823260681984,0.0644440375371934,0.00784238646885113,0.0566016510683423,shepp,180,180
0.079309602342201,0.241623032070379,0.337967389114302,0.480701561668828,2.889707848294,2.40900628662518,0.0644440375371934,0.0134267056793153,0.0510173318578781,shepp,30,150
0.051077180922582,0.29546644773228,0.224931302127739,0.480701561668828,2.36844986188028,1.88774830021145,0.0644440375371934,0.00933235884394557,0.0551116786932479,shepp,60,150
0.0522324727544879,0.316628963893485,0.165049677061627,0.480701561668828,1.91857711401241,1.43787555234359,0.0644440375371934,0.00625008287779751,0.0581939546593959,shepp,90,150
0.0541948256796271,0.335333350430704,0.127380790149047,0.480701561668828,1.36639219983073,0.885690638161899,0.0644440375371934,0.00402701953962022,0.0604170179975732,shepp,180,150
0.0690207026490683,0.257830932465303,0.308896288697471,0.480701561668828,2.58729362054948,2.10659205888065,0.0644440375371934,0.0107973460929851,0.0536466914442084,shepp,30,120
0.0570190274926776,0.302169849625178,0.190598704189665,0.480701561668828,1.96021617924116,1.47951461757234,0.0644440375371934,0.00603403283918282,0.0584100046980106,shepp,60,120
0.0573811022880127,0.316792985883687,0.156639353785274,0.480701561668828,1.57943840113248,1.09873683946365,0.0644440375371934,0.00455068080569609,0.0598933567314973,shepp,90,120
0.0572352421329894,0.329957979355091,0.132532802429103,0.480701561668828,1.14293274460286,0.662231182934035,0.0644440375371934,0.00322624776324842,0.061217789773945,shepp,180,120
0.0698116010932439,0.268136173980062,0.260502122145499,0.480701561668828,2.38063968947794,1.89993812780911,0.0644440375371934,0.00755435187552446,0.056889685661669,shepp,30,90
0.0698581523458055,0.297045284734469,0.171290717779549,0.480701561668828,1.60286958377273,1.1221680221039,0.0644440375371934,0.00386608379170298,0.0605779537454905,shepp,60,90
0.0716164013313855,0.304869482004571,0.152185926787109,0.480701561668828,1.29460425919731,0.81390269752848,0.0644440375371934,0.00294561248350933,0.0614984250536841,shepp,90,90
0.0713745039115862,0.311022239703572,0.142079102452906,0.480701561668828,1.11595781935403,0.635256257685203,0.0644440375371934,0.00232601722308766,0.0621180203141058,shepp,180,90
